Key,Source,Context,Changes,English,Russian

bookStartSupplyCache,items,questItem,,[DECEA3]Quest[-] Supply cache,[DECEA3]Квест[-] Тайник с припасами
bookStartSupplyCacheDesc,items,questItem,,"Quest to find a supply cache from surviving settlers\n\n[DECEA3]Warning! This quest may be deadly. Prepare thoroughly before attempting it[-]","Задание на поиск тайника с припасами от выживших поселенцев\n\n[DECEA3]Внимание! Задание может быть смертельно опасным. Основательно подготовтесь прежде чем приступуть к нему[-]"

ObjectiveRadiates_key,Quest,Quest Info,,Radiated zombie,Радиоактивные зомби
ObjectiveElite_key,Quest,Quest Info,,Elite zombie,Элитные зомби
ObjectiveWolf_key,Quest,Quest Info,,Devourer,Пожиратель
ObjectiveBear_key,Quest,Quest Info,,Bear Daddy,Папа Медведь
ObjectiveVulture_key,Quest,Quest Info,,Gargul,Гаргул
ObjectiveBull_key,Quest,Quest Info,,Bull,Бугай
ObjectiveShocker_key,Quest,Quest Info,,Shocker,Шокер
ObjectiveVeteran_key,Quest,Quest Info,,Veteran,Ветеран

quest_radio,Quest,Quest Info,,Set up communication with the outside world,Настройте связь с внешним миром
quest_suprequest,Quest,Quest Info,,Get support resources,Получите ресурсы поддержки
quest_craftmod,Quest,Quest Info,,Create a modification,Создайте модификацию
quest_killradzombie,Quest,Quest Info,,Kill the infected zombies,Убейте зараженных зомби
quest_rareammo,Quest,Quest Info,,Get experimental ammo,Получите экспериментальные патроны
quest_zombie_minibosses,Quest,Quest Info,,Kill the minibosses,Убейте минибоссов
quest_RadResist,Quest,Quest Info,,Protect yourself from radiation,Защитите себя от радиации
quest_zombie_bosses,Quest,Quest Info,,Kill Bosses,Убейте боссов
quest_wasteland,Quest,Quest Info,,Continue exploring the wasteland,Продолжайте исследовать пустошь


quest_StartSupplyCache_statement,Quest,Quest Info,,Find a supply cache,Найдите тайник с припасами
quest_StartSupplyCache_subtitle,Quest,Quest Info,,Find a supply cache,Найдите тайник с припасами
quest_StartSupplyCache_response,Quest,Quest Info,,Find a supply cache([DECEA3]{poi.distance} {poi.direction}[-]),Найдите тайник с припасами ([DECEA3]{poi.distance} {poi.direction}[-])

StartSupplyCacheName,Quest,Quest Info,,[DECEA3]Quest[-] Supply cache,[DECEA3]Квест[-] Тайник с припасами
